Sample,Dice
432_L_77_F,0.9780553652764641
433_R_77_F,0.9792906278726176
434_L_90_F,0.9858091835802393
435_R_90_F,0.9652323025593447
436_L_90_F,0.42120402292804104
437_R_90_F,0.9904517659305065
438_L_71_F,0.9735860182461552
439_R_71_F,0.9847759872751496
440_L_64_M,0.9797646467544195
441_R_64_M,0.9727040594506148
442_R_75_F,0.9794933342524705
443_L_73_F,0.5162990910240374
444_R_92_F,0.9850160850085226
445_R_93_F,0.987590803814363
446_R_75_F,0.9836229716781291
447_L_83_M,0.9428735481776624
448_L_80_M,0.9713470652886419
449_L_93_F,0.9897509316914166
450_L_77_F,0.9733707641805053
451_L_75_F,0.9858923508365175
452_L_75_F,0.9760995875359516
453_R_79_M,0.9655203205552154
454_L_94_F,0.9797531744689172
455_L_97_F,0.9839164303635556
456_R_97_F,0.9852570492383139
