Sample,DSC,A,N iteration,Pyramid Schedule
432_L_77_F,0.735,10,1000,"[50, 20, 10]"
433_R_77_F,0.664,500,2000,"[50, 20, 10]"
434_L_90_F,0.717,10,1000,"[50, 20, 10]"
435_R_90_F,0.758,10,1000,"[50, 20, 10]"
436_L_90_F,0.715,10,1000,"[50, 20, 10]"
437_R_90_F,0.78,10,1000,"[50, 20, 10]"
438_L_71_F,0.658,10,1000,"[50, 20, 10]"
439_R_71_F,0.778,10,1000,"[50, 20, 10]"
440_L_64_M,0.836,10,1000,"[50, 20, 10]"
441_R_64_M,0.617,1000,2000,"[50, 20, 10]"
442_R_75_F,0.829,10,1000,"[50, 20, 10]"
443_L_73_F,0.652,10,1000,"[50, 20, 10]"
444_R_92_F,0.601,10,1000,"[50, 20, 10]"
445_R_93_F,0.713,10,1000,"[50, 20, 10]"
446_R_75_F,0.808,10,1000,"[50, 20, 10]"
447_L_83_M,0.681,10,1000,"[50, 20, 10]"
448_L_80_M,0.652,10,1000,"[50, 20, 10]"
449_L_93_F,0.663,10,1000,"[50, 20, 10]"
450_L_77_F,0.83,10,1000,"[50, 20, 10]"
451_L_75_F,0.773,10,1000,"[50, 20, 10]"
452_L_75_F,0.804,1000,2000,"[50, 20, 10]"
453_R_79_M,0.787,10,1000,"[50, 20, 10]"
454_L_94_F,0.724,10,1000,"[50, 20, 10]"
455_L_97_F,0.684,10,1000,"[50, 20, 10]"
456_R_97_F,0.707,10,1000,"[50, 20, 10]"
