Angle,DSC
0.0,0.8850098759506954
15.0,0.8798788172973836
30.0,0.8789547472144971
45.0,0.8721226278848486
60.0,0.8765826958444011
75.0,0.8789181041367193
90.0,0.8853566163988534
105.0,0.8871338848745248
120.0,0.8883541166561134
135.0,0.8864594781602402
150.0,0.8768068548960739
165.0,0.8503885232149373
180.0,0.83114243792463
195.0,0.8445847773897572
210.0,0.9011103515697101
225.0,0.9642598092082242
240.0,0.9276396482536395
255.0,0.881613566211551
270.0,0.8526278876173101
285.0,0.8411510973337779
300.0,0.8601267744220547
315.0,0.8649496133791404
330.0,0.8897568561901725
345.0,0.890148133031973
