Internal ID,Stiffness (N/mm),Height (mm),Mean Area (mm2),Apparent Modulus (N/mm2)
432_L_77_F,25267.70152824075,31.237499999999766,936.0302906541245,843.2417565641271
433_R_77_F,27311.485547868844,30.86999999999977,896.373051787506,940.5744150623699
434_L_90_F,10977.239727255672,32.92799999999979,1002.3582936445378,360.608129878212
435_R_90_F,9798.45308672481,30.94349999999977,956.9645739192466,316.8334976574089
436_L_90_F,24141.25189819876,31.01699999999977,828.0082597500067,904.3257736975967
437_R_90_F,23639.69178686805,30.94349999999977,834.9285933277974,876.1166028479244
438_L_71_F,45139.45002406797,30.79649999999977,949.2412350286463,1464.4718553806265
439_R_71_F,42506.83471789621,30.86999999999977,959.7077574000062,1367.2766293943032
440_L_64_M,47009.54737014418,30.72299999999977,1414.7419795945073,1020.8747211041875
441_R_64_M,63413.11915216562,31.090499999999768,1292.8587689202209,1524.950465120796
442_R_75_F,47967.94754672251,29.98799999999978,879.3494694816245,1635.8260975344378
443_L_73_F,24224.11311494545,31.163999999999767,825.1868582405713,914.8476536862979
444_R_92_F,46229.03218199535,30.79649999999977,833.914311465399,1707.2406241488056
445_R_93_F,39267.04495800277,31.310999999999765,861.1332081760628,1427.7587172420835
446_R_75_F,39353.83042636394,31.163999999999767,779.9259795654536,1572.4861121955632
447_L_83_M,110661.137013757,30.86999999999977,1351.4944781625077,2527.6531682609584
448_L_80_M,84511.3425239297,31.01699999999977,1330.261369363162,1970.506226396397
449_L_93_F,43259.32219012034,31.163999999999767,934.0820755577907,1443.2709416116963
450_L_77_F,85972.81093796216,30.94349999999977,1163.5193331983467,2286.4249861203707
451_L_75_F,48205.20890071128,30.86999999999977,795.2689912125055,1871.1842347783797
452_L_75_F,56118.29271622493,30.72299999999977,888.803281415677,1939.8244169107938
453_R_79_M,82160.24396417767,30.94349999999977,1225.5178126211465,2074.4908665733456
454_L_94_F,73009.0108576104,30.94349999999977,822.0266473093877,2748.273836215638
455_L_97_F,22941.25052837408,31.163999999999767,994.4685534693466,718.9177867636633
456_R_97_F,21514.18412607559,31.01699999999977,955.7234536724002,698.2202293710984
