,hFE,hFE,hFE,Experiment,Experiment,Experiment
,Max Displacement (mm),Max Force (N),Stiffness (N/mm),Max Displacement (mm),Max Force (N),Stiffness (N/mm)
0,2.762,6722.9676,34172.033102306836,2.7619557589330435,6272.548883030282,25267.70152824075
1,1.6596772,6376.9607,32210.893253816255,2.610770204341672,6238.965056158868,27311.485547868844
2,1.3980068,2845.0412,13073.538863555379,2.3330108051335317,1621.8332653680548,10977.239727255672
3,1.567,3538.6071,16949.931078493937,1.5667761671170766,1352.6521786684084,9798.45308672481
4,1.48,5032.854,27101.26756756757,1.480033021772149,3486.5606015370804,24141.251898198756
5,1.518,5171.3521,26167.46245059289,1.5180191600773365,4116.878606710236,23639.691786868054
6,0.85015308,9117.4875,46406.6218727663,2.7975530625326455,8305.483599830457,45139.45002406797
7,1.308,8721.6428,42844.73547400609,1.3075882777179189,8017.881376126555,42506.83471789621
8,1.465,12472.519,65971.25392491465,1.4652692951713835,8486.65808901598,47009.54737014418
9,1.475,14189.638,71971.03050847458,1.4754558082062323,11501.127592868277,63413.11915216562
10,1.1135971,10493.084,59589.0039973351,1.5013804858985778,9359.015560582475,47967.94754672251
11,1.1057661,5598.9037,29772.803352675695,1.550572675986932,5031.9278138738855,24224.113114945452
12,0.99609828,10426.824,56648.01678697331,1.7015922154533132,9732.913531381646,46229.032181995346
13,1.2534505,7650.5646,31164.211511464673,2.136988281500545,7857.703451530407,39267.04495800277
14,1.2971242,6662.1332,54668.81042988021,2.837740537058077,4729.129812199953,39353.83042636394
15,0.94782066,23659.735,119985.56862745092,2.8048629553559334,21710.952824205677,110661.137013757
16,1.2533315,18146.419,89171.87903732924,2.4985135659462667,17487.23137968089,84511.3425239297
17,1.349,7900.248,42643.90511489992,1.3494977863291153,8078.213136230757,43259.32219012034
18,1.2517301,18278.575,82191.57461480497,1.9123231454237986,16713.03543068481,85972.81093796216
19,1.256,6271.2672,51209.13512283893,1.2557077114101294,5491.7055926356,48205.20890071128
20,0.97639042,10922.622,61565.21248246845,1.4255316870126418,9926.182211142122,56118.29271622493
21,1.8188423,16795.237,85223.37301587297,2.231779742892449,13855.454834112756,82160.24396417767
22,1.4457787,15321.95,70765.14671361503,1.7035288722317263,14690.079788581374,73009.0108576104
23,1.954,4426.854,19667.059365404297,1.9535709967838744,4112.395389459501,22941.250528374076
24,2.873,4704.8196,22393.371189896083,2.8727307900708277,3959.508183498591,21514.18412607559
